Metal,Ceramic,Testing temperature (K),Wetting angle
Sn,Al2O3,1373,123
Sn0.96Al0.04,Al2O3,1373,114
Sn0.875Al0.125,Al2O3,1373,66
Sn0.86Al0.14,Al2O3,1373,73
Sn0.4Al0.6,Al2O3,1373,71
Sn0.1Al0.9,Al2O3,1373,79
Al,Al2O3,1273,73
Sn,Al2O3,1273,123
Sn0.9Al0.1,Al2O3,1273,109
Sn0.85Al0.15,Al2O3,1273,71
Sn0.7Al0.3,Al2O3,1273,66
Sn0.4Al0.6,Al2O3,1273,67
Sn0.1Al0.9,Al2O3,1273,70
Al,Al2O3,1373,81
Cu,Al2O3,1350,138
Cu0.905Ti0.095,Al2O3,1350,30
Cu0.874Ti0.126,Al2O3,1350,20
Cu0.874Ti0.126,Al2O3,1350,38
Ni0.5Pd0.5,Al2O3,1523,113
Ni0.475Pd0.475Ti0.05,Al2O3,1523,97
Ni0.425Pd0.425Ti0.15,Al2O3,1523,70
Ni0.375Pd0.375Ti0.25,Al2O3,1523,50
Al,Al2O3,1173,103
Al,Si1O2,973,150
Al,Si1O2,1073,98
Al,Si1O2,1173,68
Al,Ca1O1,1173,100
Ag,Al2O3,1373,130
Al,Al2O3,1150,82
Au,Al2O3,1373,140
Au,Al2O3,1365,131
Cu,Al2O3,1423,128
Fe,Al2O3,1853,109
Fe,Al2O3,1873,130
Ga,Al2O3,1173,118
In,Al2O3,429,124
Ni,Al2O3,1773,109
Ni,Al2O3,1873,123
Pb,Al2O3,1173,117
Pb,Al2O3,1173,132
Sb,Al2O3,998,102
Si,Al2O3,1723,80
Sn,Al2O3,1373,125
Al0.98Ca0.02,Ca1O1,1173,92
Al0.9Mg0.1,Mg1O1,1173,102
Cu,Al2O3,1523,120
Cu0.975O0.025,Al2O3,1523,30
Cu0.9Ti0.1,Ti1O1,1423,30
Cu,Al2O3,1373,128
Cu0.975Ti0.025,Al2O3,1373,75
Cu0.95Ti0.05,Al2O3,1373,44
Cu0.925Ti0.075,Al2O3,1373,31
Cu0.9Ti0.1,Al2O3,1373,27
Cu0.875Ti0.125,Al2O3,1373,21
Cu0.75Ti0.25,Al2O3,1273,33
Cu0.75Ti0.25,Al2O3,1373,16
Cu0.75Ti0.25,Al2O3,1473,10
Cu0.75Ti0.25,Al2O3,1573,12
Al,Si1O2,1073,87.5
Al0.92Mg0.08,Si1O2,1073,76.5
Al0.8Mg0.2,Si1O2,1073,50
Al0.57Mg0.43,Si1O2,1073,18
Al0.31Mg0.69,Si1O2,1073,6.5
Mg,Si1O2,1073,4
Al0.57Mg0.43,Si1O2,1023,15
Al0.57Mg0.43,Si1O2,1123,32
Au,Al2O3,1423,137.5
Au0.99Ti0.01,Al2O3,1423,97.22222222
Au0.98Ti0.02,Al2O3,1423,85.83333333
Au0.97Ti0.03,Al2O3,1423,78.33333333
Au0.94Ti0.06,Al2O3,1423,69.16666667
Au0.92Ti0.08,Al2O3,1423,68.05555556
Ga,Al2O3,1323,125.2777778
Ga0.996Ti0.004,Al2O3,1323,74.27631579
Ga0.992Ti0.008,Al2O3,1323,72.71929825
Ga0.991Ti0.009,Al2O3,1323,69.41520468
Ga0.99Ti0.01,Al2O3,1323,65.55555556
Ga0.978Ti0.022,Al2O3,1323,63.10672515
Ga0.962Ti0.038,Al2O3,1323,56.33040936
Ga0.957Ti0.043,Al2O3,1323,64.80263158
Ga0.938Ti0.062,Al2O3,1323,56.99561404
Ga0.92Ti0.08,Al2O3,1323,64.16666667
Cu0.99Ti0.01,Mg1O1,1423,95
Cu0.98Ti0.02,Mg1O1,1423,61.9371345
Cu0.97Ti0.03,Mg1O1,1423,44.44444444
Cu0.96Ti0.04,Mg1O1,1423,37.5
Cu0.94Ti0.06,Mg1O1,1423,28.05555556
Cu,Al2O3,1423,128.5964912
Cu0.99Ti0.01,Al2O3,1423,88.88888889
Cu0.98Ti0.02,Al2O3,1423,51.38157895
Cu0.96Ti0.04,Al2O3,1423,33.05555556
Cu0.94Ti0.06,Al2O3,1423,23.61111111
Cu0.92Ti0.08,Al2O3,1423,16.9371345
Sn,Si1O2,1273,128.0555556
Sn0.99Ti0.01,Si1O2,1273,48.33333333
Sn0.98Ti0.02,Si1O2,1273,31.38157895
Sn0.97Ti0.03,Si1O2,1273,19.44444444
Sn0.96Ti0.04,Si1O2,1273,13.05555556
Sn0.94Ti0.06,Si1O2,1273,6.381578947
Sn,Al2O3,1173,128.0555556
Sn0.995Sc0.005,Al2O3,1173,70.97222222
Sn0.994Sc0.006,Al2O3,1173,54.88304094
Sn0.993Sc0.007,Al2O3,1173,49.91959064
Sn0.992Sc0.008,Al2O3,1173,46.05263158
Sn0.982Sc0.018,Al2O3,1173,35.78216374
Sn0.981Sc0.019,Al2O3,1173,35.24853801
In,Al2O3,973,129.1666667
In0.992Sc0.008,Al2O3,973,19.39327485
In0.986Sc0.014,Al2O3,973,12.8874269
In0.984Sc0.016,Al2O3,973,11.27923977
In0.979Sc0.021,Al2O3,973,11.41812865
In0.973Sc0.027,Al2O3,973,10.46783626
In0.952Sc0.048,Al2O3,973,11.05263158
Cu,Al2O3,1423,161.4309743
Ag0.72Cu0.28,Ca1F2,1423,125.4935955
Bi,U1O2,1073,163.1698797
Sn,Al2O3,973,133
Sn,Al2O3,1073,127
Sn,Al2O3,1173,127
Sn,Al2O3,1273,127
Sn0.98Ti0.02,Al2O3,973,92
Sn0.98Ti0.02,Al2O3,1073,78
Sn0.98Ti0.02,Al2O3,1173,77
Sn0.98Ti0.02,Al2O3,1273,77
Sn0.95Ti0.05,Al2O3,973,83
Sn0.95Ti0.05,Al2O3,1073,59
Sn0.95Ti0.05,Al2O3,1173,50
Sn0.95Ti0.05,Al2O3,1273,49
Al,Ti1O2,973,148
Al,Ti1O2,1073,127
Al,Ti1O2,1173,91
Al,Ti1O2,1273,85
Fe,Al2O3,1823,132
Fe,Al2O3,1838,133
Fe,Al2O3,1848,134
Fe,Al2O3,1858,134
Fe,Al2O3,1873,132
Fe,Al2O3,1823,115
Fe0.84Cr0.16,Al2O3,1823,155
Fe0.84Cr0.16,Al2O3,1823,148
Fe0.68Cr0.32,Al2O3,1823,147
Fe0.68Cr0.32,Al2O3,1823,143
Fe0.68Cr0.32,Al2O3,1823,140
Fe,Al2O3,1823,119
Fe0.88Cr0.12,Al2O3,1823,118
Fe0.83Cr0.17,Al2O3,1823,117
Fe0.8Cr0.2,Al2O3,1823,110
Fe0.78Cr0.22,Al2O3,1823,114
Fe0.88Cr0.12,Mg1O1,1823,102
Fe0.83Cr0.17,Mg1O1,1823,114
Fe0.8Cr0.2,Mg1O1,1823,102
Fe0.78Cr0.22,Mg1O1,1823,102
Ag,Al2O3,1373,121
Ag,Al2O3,1373,118
Ag,Al2O3,1373,110
Ag,Al2O3,1373,99
Ag,Al2O3,1373,94
Ag,Al2O3,1373,90
Ag,Al2O3,1373,91
Ag,Al2O3,1373,85
Ag,Al2O3,1373,79
Ag,Al2O3,1373,129
Ag,Al2O3,1373,120
Ag,Al2O3,1373,112
Ag,Al2O3,1373,86
Ag,Al2O3,1381,130
Ag,Al2O3,1381,110
Ag,Al2O3,1381,96
Ag,Al2O3,1381,92
Ag,Al2O3,1381,86
Ag,Al2O3,1381,82.5
Cu,Y2O3,1423,145
Ag,Y2O3,1423,141
Au,Y2O3,1423,134
Sn,Y2O3,1423,84
Ge,Y2O3,1423,47
Cu,Gd2O3,1423,129
Ag,Gd2O3,1423,128
Au,Gd2O3,1423,127
Sn,Gd2O3,1423,81
Ge,Gd2O3,1423,43
Cu,Tb2O3,1423,148
Ag,Tb2O3,1423,137
Au,Tb2O3,1423,130
Sn,Tb2O3,1423,75
Ge,Tb2O3,1423,41
Cu,Dy2O3,1423,147
Ag,Dy2O3,1423,137
Au,Dy2O3,1423,132
Sn,Dy2O3,1423,85
Ge,Dy2O3,1423,46
Cu,Ho2O3,1423,149
Ag,Ho2O3,1423,145
Au,Ho2O3,1423,144
Sn,Ho2O3,1423,96
Ge,Ho2O3,1423,57
Cu,Er2O3,1423,152
Ag,Er2O3,1423,145
