Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Sn,Al2O3,123,1373,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,4,33.285,0,0,141,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.96Al0.04,Al2O3,114,1373,48.52,79.72,115.0408615,522.2156,13.96,4.92,138.28,1.946,2,1.96,9.6,0,13.56,0,4.04,0,4.04,32.6128,0,0,144.36,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.875Al0.125,Al2O3,66,1373,45.375,79.125,107.2439423,558.62875,13.875,4.75,136.75,1.91625,2,1.875,8.75,0,12.625,0,4.125,0,4.125,31.184375,0,0,151.5,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.86Al0.14,Al2O3,73,1373,44.82,79.02,105.8680154,565.0546,13.86,4.72,136.48,1.911,2,1.86,8.6,0,12.46,0,4.14,0,4.14,30.9323,0,0,152.76,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.4Al0.6,Al2O3,71,1373,27.8,75.8,63.67292316,762.114,13.4,3.8,128.2,1.75,2,1.4,4,0,7.4,0,4.6,0,4.6,23.202,0,0,191.4,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.1Al0.9,Al2O3,79,1373,16.7,73.7,36.15438474,890.631,13.1,3.2,122.8,1.645,2,1.1,1,0,4.1,0,4.9,0,4.9,18.1605,0,0,216.6,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Al,Al2O3,73,1273,13,73,26.9815386,933.47,13,3,121,1.61,2,1,0,0,3,0,5,0,5,16.48,0,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn,Al2O3,123,1273,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,4,33.285,0,0,141,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.9Al0.1,Al2O3,109,1273,46.3,79.3,109.5371539,547.919,13.9,4.8,137.2,1.925,2,1.9,9,0,12.9,0,4.1,0,4.1,31.6045,0,0,149.4,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.85Al0.15,Al2O3,71,1273,44.45,78.95,104.9507308,569.3385,13.85,4.7,136.3,1.9075,2,1.85,8.5,0,12.35,0,4.15,0,4.15,30.76425,0,0,153.6,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
